panel,age_group,education,gender,ours,pub,diff_abs,fail
ds_i x dE/P_i,55-64,Less than HS,Overall,0.00500713809058506,0.005008207823660976,1.0697330759161863e-6,FALSE
ds_i x dE/P_i,55-64,Less than HS,Male,0.00276786473365445,0.002767248271645581,6.164620088692542e-7,FALSE
ds_i x dE/P_i,55-64,Less than HS,Female,0.00775318276986042,0.0077542557920868066,1.0730222263864025e-6,FALSE
ds_i x dE/P_i,55-64,HS,Overall,-0.00830949028521905,-0.00830960589397423,1.156087551783952e-7,FALSE
ds_i x dE/P_i,55-64,HS,Male,-0.00288991643673435,-0.002889526407374312,3.900293600376907e-7,FALSE
ds_i x dE/P_i,55-64,HS,Female,-0.00636329615343217,-0.006361558404771369,1.7377486608008072e-6,FALSE
ds_i x dE/P_i,55-64,Some College,Overall,-0.01838793756456302,-0.01838865676160252,7.191970394990199e-7,FALSE
ds_i x dE/P_i,55-64,Some College,Male,-0.00525406439988026,-0.005254197432159149,1.3303227888901425e-7,FALSE
ds_i x dE/P_i,55-64,Some College,Female,-0.0483850164931182,-0.048386398775685256,1.3822825670542493e-6,FALSE
ds_i x dE/P_i,55-64,College,Overall,-0.03619033900362904,-0.03619010833283312,2.306707959226495e-7,FALSE
ds_i x dE/P_i,55-64,College,Male,-0.02143086086006584,-0.021430654188026144,2.0667203969731984e-7,FALSE
ds_i x dE/P_i,55-64,College,Female,-0.094641028640482,-0.09464047556288192,5.53077600079499e-7,FALSE
ds_i x dE/P_i,65+,Less than HS,Overall,0.01593889244875341,0.01593805376711703,8.386816363788185e-7,FALSE
ds_i x dE/P_i,65+,Less than HS,Male,0.01326006886269155,0.013260593519258804,5.246565672537007e-7,FALSE
ds_i x dE/P_i,65+,Less than HS,Female,0.0200911532292659,0.020091823607400975,6.703781350765603e-7,FALSE
ds_i x dE/P_i,65+,HS,Overall,-0.00713060768243965,-0.00712997591153819,6.317709014599243e-7,FALSE
ds_i x dE/P_i,65+,HS,Male,-0.00674222705055955,-0.006742228283873394,1.2333138434128532e-9,FALSE
ds_i x dE/P_i,65+,HS,Female,-0.00451929143137083,-0.004520365248659433,1.0738172886029865e-6,FALSE
ds_i x dE/P_i,65+,Some College,Overall,-0.02558489073667602,-0.025583877694293145,1.0130423828760837e-6,FALSE
ds_i x dE/P_i,65+,Some College,Male,-0.01756277453556656,-0.01756290269482199,1.281592554303046e-7,FALSE
ds_i x dE/P_i,65+,Some College,Female,-0.04031420138366699,-0.04031347493734831,7.264463186759662e-7,FALSE
ds_i x dE/P_i,65+,College,Overall,-0.04923497257846101,-0.04923389296162809,1.079616832919128e-6,FALSE
ds_i x dE/P_i,65+,College,Male,-0.03114872376194588,-0.031148944175328028,2.204133821466503e-7,FALSE
