table,column,ours,pub,diff_abs,fail
A,dEP_99_18,-0.04124099582611684,-0.04124099582609164,2.5195123765087146e-14,FALSE
A,dEP_99_18,-0.02841175799678097,-0.028411757996766877,1.4092893518835581e-14,FALSE
A,dEP_99_18,0.04465519238440207,0.044655192384352393,4.967554145807185e-14,FALSE
A,dEP_99_18,0.02651795691006775,0.02651795691014436,7.661232759303971e-14,FALSE
A,dEP_99_18,0.00917553023729245,0.009175530237344852,5.240079203883141e-14,FALSE
A,dEP_99_18,0.02739740708029248,0.027397407080311357,1.8877260865579615e-14,FALSE
A,dEP_99_18,0.02909345936763072,0.02909345936759804,3.267872084045109e-14,FALSE
A,dEP_99_18,0.03360802703478834,0.033608027034777804,1.0533240946131173e-14,FALSE
A,dEP_99_18,0.05466203069181466,0.054662030691856406,4.1744385725905886e-14,FALSE
A,dEP_99_18,0.06087272474948393,0.06087272474946456,1.9366452885805074e-14,FALSE
A,dEP_99_18,-0.03831698673528205,-0.03831698673528883,6.779299344117362e-15,FALSE
A,s_1999,0.16369022069831268,0.16369022069832057,7.882583474838611e-15,FALSE
A,s_1999,0.182796371403958,0.1827963714039576,3.885780586188048e-16,FALSE
A,s_1999,0.21484730374252148,0.214847303742518,3.469446951953614e-15,FALSE
A,s_1999,0.17129288594443243,0.17129288594443298,5.551115123125783e-16,FALSE
A,s_1999,0.11101568519114204,0.11101568519114184,1.942890293094024e-16,FALSE
A,s_1999,0.1563575330196334,0.156357533019629,4.385380947269368e-15,FALSE
A,s_1999,0.08515686686572463,0.08515686686572536,7.355227538141662e-16,FALSE
A,s_1999,0.07853335383259609,0.07853335383259438,1.7069679003611782e-15,FALSE
A,s_1999,0.02218324278383041,0.02218324278382868,1.7277845820728999e-15,FALSE
A,s_1999,0.05634555874307213,0.05634555874307207,5.551115123125783e-17,FALSE
A,s_1999,0.05091600060338026,0.050916000603381424,1.1657341758564144e-15,FALSE
A,s_1999,0.05335156927367306,0.05335156927367449,1.429412144204889e-15,FALSE
A,s_1999,0.02473766171658676,0.02473766171658525,1.5092094240998222e-15,FALSE
A,s_1999,0.07230198915286536,0.07230198915286522,1.3877787807814457e-16,FALSE
A,s_1999,0.05890284403726036,0.05890284403726054,1.8041124150158794e-16,FALSE
