year,gender,series,ours,pub,diff_abs,fail
1994,All,epop55_64,0.5441240610613036,0.5441241,3.893869637838776e-8,FALSE
1994,All,epop65,0.118695988649555,0.118696,1.1350445000557485e-8,FALSE
1994,All,epop_all,0.6252654790817727,0.6252655,2.0918227372490605e-8,FALSE
1995,All,epop16_24,0.5826100386100386,0.58261,3.861003861072021e-8,FALSE
1995,All,epop25_54,0.7975023240313612,0.7975023,2.4031361234300164e-8,FALSE
1995,All,epop55_64,0.5514829997588618,0.551483,2.411381094802323e-10,FALSE
1995,All,epop65,0.11657339099465784,0.1165734,9.005342152534901e-9,FALSE
1995,All,epop_all,0.6289479514965959,0.628948,4.850340407092091e-8,FALSE
1996,All,epop16_24,0.5762607055622546,0.5762607,5.562254656865662e-9,FALSE
1996,All,epop25_54,0.802060516860742,0.8020605,1.6860742024782382e-8,FALSE
1996,All,epop55_64,0.5592663172939495,0.5592663,1.7293949494678884e-8,FALSE
1996,All,epop65,0.1162168120689112,0.1162168,1.2068911203755306e-8,FALSE
1996,All,epop_all,0.6316846885920963,0.6316847,1.1407903732774116e-8,FALSE
1997,All,epop16_24,0.5803944280184107,0.5803944,2.8018410702657093e-8,FALSE
1997,All,epop25_54,0.8085130057432404,0.808513,5.743240327760191e-9,FALSE
1997,All,epop55_64,0.5717740060451058,0.571774,6.045105749308277e-9,FALSE
1997,All,epop65,0.11757166525993312,0.1175717,3.474006687875786e-8,FALSE
1997,All,epop_all,0.6378006636013666,0.6378006,6.360136650673809e-8,FALSE
1998,All,epop16_24,0.5899449408791407,0.589945,5.9120859319250485e-8,FALSE
1998,All,epop25_54,0.8110600255427841,0.81106,2.554278411004418e-8,FALSE
1998,All,epop55_64,0.5773232866881952,0.5773233,1.3311804769600144e-8,FALSE
1998,All,epop65,0.11555045444675371,0.1155505,4.555324628618962e-8,FALSE
1998,All,epop_all,0.6406003313517201,0.6406003,3.1351720108929726e-8,FALSE
1999,All,epop16_24,0.58994942366502,0.5899494,2.366502005468618e-8,FALSE
1999,All,epop25_54,0.8141254505152371,0.8141255,4.948476284294401e-8,FALSE
1999,All,epop55_64,0.5773066250433576,0.5773066,2.5043357609888517e-8,FALSE
