table,column,ours,pub,diff_abs,fail
C,dEP_99_18,-0.01908735237098324,-0.01908735237096648,1.6757428777935957e-14,FALSE
C,dEP_99_18,-0.02024899765569199,-0.020248997655647027,4.496403249731884e-14,FALSE
C,dEP_99_18,0.07408197767123736,0.07408197767124745,1.008915173628111e-14,FALSE
C,dEP_99_18,0.06750252047790631,0.06750252047791051,4.2049697057677804e-15,FALSE
C,dEP_99_18,0.00758016519439852,0.007580165194389866,8.653668059910302e-15,FALSE
C,dEP_99_18,-0.09981622860517636,-0.09981622860519139,1.5029644195863057e-14,FALSE
C,dEP_99_18,-0.03818688138614856,-0.038186881385926734,2.2182949921401018e-13,FALSE
C,dEP_99_18,-0.06902171627844267,-0.06902171627848053,3.785860513971784e-14,FALSE
C,dEP_99_18,-0.02944095808419089,-0.029440958084109518,8.137240881112007e-14,FALSE
C,dEP_99_18,-6.054543864419948e-4,-6.054543863911466e-4,5.084821452783217e-14,FALSE
C,dEP_99_18,-0.0540229005866456,-0.05402290058657716,6.843831057423699e-14,FALSE
C,dEP_99_18,-0.08993194229243373,-0.0899319422923116,1.2212453270876722e-13,FALSE
C,dEP_99_18,-0.03940926678352219,-0.039409266783547725,2.55351295663786e-14,FALSE
C,dEP_99_18,0.0051516638790251,0.005151663878933399,9.170095238708598e-14,FALSE
C,dEP_99_18,0.01098686108454355,0.010986861084557376,1.3825746103535153e-14,FALSE
C,dEP_99_18,-0.05723784289928146,-0.057237842899337976,5.6517290847324375e-14,FALSE
C,dEP_99_18,-0.04825913298146755,-0.04825913298141882,4.8731851887140465e-14,FALSE
C,dEP_99_18,-0.03065953620167738,-0.030659536201754208,7.682743330406083e-14,FALSE
C,dEP_99_18,0.03715495142094377,0.037154951420899245,4.4526882181372684e-14,FALSE
C,dEP_99_18,0.02738395400440341,0.0273839540045267,1.2329026688462363e-13,FALSE
C,dEP_99_18,0.02372475609238589,0.02372475609236091,2.4980018054066022e-14,FALSE
C,dEP_99_18,0.05083655769496553,0.05083655769509665,1.311242781021349e-13,FALSE
C,dEP_99_18,0.02339361909670739,0.023393619096788162,8.077219448843209e-14,FALSE
C,dEP_99_18,0.0300669196035546,0.030066919603513837,4.076253223850301e-14,FALSE
C,dEP_99_18,0.05290169739364732,0.05290169739352105,1.2627399126330374e-13,FALSE
C,dEP_99_18,0.0891333703997654,0.08913337039969883,6.657174811408595e-14,FALSE
C,dEP_99_18,-0.02541843099898289,-0.02541843099901331,3.042011087472929e-14,FALSE
C,s_1999,0.156821277025939,0.1568212770259382,8.049116928532385e-16,FALSE
C,s_1999,0.17968049531858366,0.17968049531858135,2.3037127760972e-15,FALSE
C,s_1999,0.2098131260095944,0.20981312600960017,5.773159728050814e-15,FALSE
C,s_1999,0.1689456447588186,0.16894564475881874,1.3877787807814457e-16,FALSE
C,s_1999,0.11159623590053018,0.1115962359005292,9.853229343548264e-16,FALSE
C,s_1999,0.173143220986534,0.17314322098653245,1.5543122344752192e-15,FALSE
C,s_1999,0.08074186579390658,0.08074186579391075,4.1772141301521515e-15,FALSE
